t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
1131.0,1435672.69145769,2963984.235070332,5479042.415182952,-629.2895278590731,-803.1933591046836,440.35211538895965
1132.0,1435044.5042912879,2963182.8860211414,5479483.794604337,-627.0432381776627,-799.4382612411864,442.4581652148627
1133.0,1434418.6049813346,2962385.3585478496,5479927.331513382,-624.7144064755412,-795.5518379588611,444.66266012145206
1134.0,1433795.0754783368,2961591.7823452237,5480373.11992458,-622.3043581778184,-791.5375897646882,446.95651232637465
1135.0,1433173.996264979,2960802.28336832,5480821.244538034,-619.8147060632473,-787.3994951823261,449.3302027042955
1136.0,1432555.4460662103,2960016.983354859,5481271.780329988,-617.2473542704247,-783.1420079618692,451.77382697118446
1137.0,1431939.5015564382,2959235.9993523965,5481724.792191977,-614.604499967536,-778.7700501838699,454.27714647864923
1138.0,1431326.2370662752,2958459.4432544913,5482180.334622946,-611.8886325228959,-774.2890011332929,456.82964308699593
1139.0,1430715.7242913924,2957687.42135013,5482638.451478151,-609.1025300683687,-769.7046819019597,459.42057751258835
1140.0,1430108.0320061385,2956920.0338906874,5483099.175777971,-606.2492533669574,-765.0233357204124,462.0390504607931
1141.0,1429503.2257846585,2956157.374678689,5483562.529579072,-603.3321369562764,-760.2516041100025,464.67406579619274
1142.0,1428901.367732226,2955399.5306824674,5484028.523909563,-600.3547775784973,-755.3964990233071,467.31459494819865
1143.0,1428302.5162295015,2954646.5816806424,5484497.158768969,-597.3210199555615,-750.4653712029103,469.94964173668995
1144.0,1427706.7256923148,2953898.5999400616,5484968.423193037,-594.2349400232779,-745.4658750672825,472.568306771107
1145.0,1427114.046349455,2953155.649930508,5485442.295382511,-591.1008257822832,-740.4059304986149,475.1598505945876
1146.0,1426524.5240407502,2952417.7880790643,5485918.742894226,-587.9231559671462,-735.2936819575261,477.7137547773309
1147.0,1425938.2000375206,2951685.062566593,5486397.7228920655,-584.7065767789027,-730.137455411721,480.21978019177914
1148.0,1425355.1108871924,2950957.513168241,5486879.182454609,-581.4558769630967,-724.94571359572,482.6680217809044
1149.0,1424775.2882835944,2950235.1711394014,5487363.058935627,-578.1759615439223,-719.7270101471804,485.04895918723196
1150.0,1424198.7589641046,2949518.0591479465,5487849.280372984,-574.8718245485798,-714.4899431918748,487.3535027191974
1151.0,1423625.5446344973,2948806.1912530176,5488337.765941066,-571.5485210671322,-709.2431089356542,489.5730342110619
1152.0,1423055.6619219703,2948099.572930075,5488828.426441406,-568.2111390066566,-703.9950558259152,491.69944243412465
1153.0,1422489.122356484,2947398.201141366,5489321.164825934,-564.8647708956851,-698.7542398243677,493.72515284409747
1154.0,1421925.932380179,2946702.0644504265,5489815.876747094,-561.514486082131,-693.5289812877309,495.6431515305303
1155.0,1421366.0933843197,2946011.1431787903,5490312.451128995,-558.165303655318,-688.3274239327293,497.44700334686786
1156.0,1420809.6017728683,2945325.409602561,5490810.770753788,-554.8221663993318,-683.1574962930754,499.13086430495605
1157.0,1420256.449051521,2944644.828186204,5491310.712857605,-551.489916059305,-678.0268760249019,500.68948839604855
1158.0,1419706.6219407497,2943969.355850511,5491812.14973058,-548.1732701666187,-672.9429573763628,502.1182290832512
1159.0,1419160.1025111878,2943298.9422714515,5492314.949315771,-544.8768006305909,-667.9128220353741,503.41303578717634
1160.0,1418616.8683394885,2942633.5302064405,5492818.975802154,-541.6049142704578,-662.9432135401294,504.57044573687017
1161.0,1418076.8926826469,2941973.055844371,5493324.090207245,-538.3618354193168,-658.0405153580941,505.58757160604
1162.0,1417540.1446686499,2941317.4491757243,5493830.150945366,-535.1515906939749,-653.2107326735277,506.46208538115025
1163.0,1417006.589501259,2940666.634379024,5494337.0143780075,-531.9779959794832,-648.4594778730534,507.1921989414841
1164.0,1416476.188676691,2940020.530219978,5494844.535343249,-528.8446456479141,-643.7919596654829,507.77664183359593
1165.0,1415948.900209963,2939379.050459693,5495352.567661675,-525.7549039970618,-639.2129757239018,508.21463671931997
1166.0,1415424.6788686968,2938742.1042685304,5495860.964616688,-522.7118988487637,-634.7269086800516,508.505872964859
1167.0,1414903.4764122656,2938109.596642333,5496369.579407604,-519.7185172395548,-630.3377252968494,508.650478833355
1168.0,1414385.2418342177,2937481.4288179367,5496878.265574355,-516.7774031026056,-626.0489785941318,508.6489927074872
1169.0,1413869.9216060604,2936857.498685145,5497386.877393019,-513.890956812189,-621.8638126759324,508.50233373371884
1170.0,1413357.4599205933,2936237.701192585,5497895.270241822,-511.0613364649471,-617.7849700129591,508.2117722649127
1171.0,1412847.7989331305,2935621.928745119,5498403.300937549,-508.2904607435921,-613.8148009148426,507.77890042215586
1172.0,1412340.8789991061,2935010.071590755,5498910.828042666,-505.5800132100703,-609.9552749064751,507.2056030686945
1173.0,1411836.6389067103,2934402.018195306,5499417.712143687,-502.93144786765333,-606.2079937562812,506.494029446505
1174.0,1411335.0161033708,2933797.6556032426,5499923.816101559,-500.3459958342137,-602.5742058891337,505.6465657008812
1175.0,1410835.946915042,2933196.8697835277,5500429.005275088,-497.8246729626553,-599.0548219110351,504.66580845369026
1176.0,1410339.3667574455,2932599.5459594205,5500933.147718467,-495.36828825389966,-595.650431024842,503.55453957943246
1177.0,1409845.210338534,2932005.568921478,5501436.114354247,-492.9774529207498,-592.3613181039691,502.31570229679346
1178.0,1409353.411851604,2931414.8233232126,5501937.77912306,-490.6525899498956,-589.1874811977614,500.9523786487989
1179.0,1408863.9051586343,2930827.1939590825,5502438.019111545,-488.3939440373797,-586.1286492913496,499.4677684237249
1180.0,1408376.6239635292,2930242.56602463,5502936.714659908,-486.20159177691676,-583.1843001374509,497.8651695577428
1181.0,1407891.5019750805,2929660.8253588076,5503433.74945066,-484.07545198185835,-580.3536779985297,496.1479600169696
1182.0,1407408.4730595655,2929081.858668633,5503929.010579942,-482.0152960441774,-577.6358111687005,494.3195811416954
1183.0,1406927.471382992,2928505.55373647,5504422.388612944,-480.02075824176427,-575.0295291487128,492.38352244812995
1184.0,1406448.431543082,2927931.7996103354,5504913.777624838,-478.0913459149888,-572.5334793773945,490.3433078303933
1185.0,1405971.2886911621,2927360.4867777154,5505403.0752286045,-476.22644943918567,-570.1461434259545,488.20248311851174
1186.0,1405495.9786442036,2926791.5073234835,5505890.182591075,-474.425351938582,-567.865852586925,485.96460493141785
1187.0,1405022.437987285,2926224.7550725415,5506375.004438467,-472.68723869591486,-565.6908028083853,483.6332307700068
1188.0,1404550.6041668118,2925660.1257178667,5506857.449052615,-471.0112062081462,-563.6190689199138,481.2119102771394
1189.0,1404080.4155748687,2925097.5169347017,5507337.428259022,-469.39627086673863,-561.6486181255896,478.70417758636177
1190.0,1403611.8116250783,2924536.8284816155,5507814.857407788,-467.8413772342028,-559.7773227447178,476.11354469833896
1191.0,1403144.7328204003,2923977.9622892123,5508289.655348418,-466.34540589433163,-558.0029721846804,473.44349580584094
1192.0,1402679.1208132897,2923420.822537246,5508761.7443993995,-464.90718087367713,-556.3232841496356,470.6974824965
1193.0,1402214.918458653,2922865.315720913,5509231.050313411,-463.52547662553843,-554.7359150862321,467.8789197620936
1194.0,1401752.0698600386,2922311.3507070737,5509697.502238924,-462.19902457029093,-553.2384698754176,464.9911827496253
1195.0,1401290.5204095123,2921758.838781162,5510161.0326789105,-460.9265191995073,-551.8285107945558,462.03760418249294
1196.0,1400830.2168216396,2921207.6936854846,5510621.577447289,-459.7066237515537,-550.5035657628905,459.0214723893441
1197.0,1400371.1071620092,2920657.8316496364,5511079.075623689,-458.53797546296846,-549.261135897832,455.9460298921913
1198.0,1399913.1408707136,2920109.171413689,5511533.469507073,-457.41919041145593,-548.098702407442,452.81447248114273
1199.0,1399456.2687811863,2919561.6342448215,5511984.7045686515,-456.348867963301,-547.0137328505516,449.62994873709977
1200.0,1399000.443134787,2919015.143947988,5512432.729404547,-455.3255948360311,-546.0036867919844,446.39555993909016
1201.0,1398545.6175915143,2918469.6268712375,5512877.49568853,-454.34794879856054,-545.0660208808258,443.11436032364145
1202.0,1398091.74723719,2917925.011906226,5513318.958125195,-453.41450202604756,-544.1981933980715,439.789357653819
1203.0,1397638.7885874622,2917381.2304844414,5513757.074403837,-452.52382411726285,-543.3976682866924,436.4235140411183
1204.0,1397186.6995889554,2916838.216569653,5514191.805153277,-451.6744848053204,-542.661918703001,433.01974700950086
1205.0,1396735.4396178515,2916295.9066470354,5514623.113897856,-450.8650563736446,-541.9884301302955,429.5809307494201
1206.0,1396284.969476208,2915754.239709392,5515050.967014776,-450.09411579032894,-541.3747030724771,426.10989753715694
1207.0,1395835.2513862709,2915213.1572408904,5515475.333692931,-449.36024658870883,-540.818255353719,422.6094392952509
1208.0,1395386.2489830307,2914672.6031986848,5515896.185893366,-448.6620405027643,-540.3166240763385,419.08230926748365
1209.0,1394937.9273052653,2914132.5239927378,5516313.498311466,-447.9980988778407,-539.8673672399018,415.5312237837352
1210.0,1394490.252785275,2913592.868464205,5516727.248340934,-447.36703387415037,-539.4680650532246,411.95886408677325
1211.0,1394043.193237517,2913053.5878626313,5517137.416039639,-446.7674694726011,-539.1163209774531,408.36787822283804
1212.0,1393596.7178463298,2912514.63582225,5517543.984097379,-446.19804230472073,-538.8097625093069,404.76088295225054
1213.0,1393150.7971529076,2911975.9683376127,5517946.937805544,-445.6574023171561,-538.5460417338181,401.14046567771584
1214.0,1392705.4030416955,2911437.5437387824,5518346.265028735,-445.14421328436583,-538.322835668223,397.5091863842681
1215.0,1392260.5087263389,2910899.3226662762,5518741.956178312,-444.6571531838272,-538.1378464156296,393.86957955313846
1216.0,1391816.0887353278,2910361.268045951,5519134.004187841,-444.19491444178857,-537.9888011440635,390.2241560551338
1217.0,1391372.1188974553,2909823.345063988,5519522.404490422,-443.7562040683115,-537.8734519220889,386.5754050142132
1218.0,1390928.5763271912,2909285.521142107,5519907.154997869,-443.33974368381314,-537.7895754126366,382.9257956095971
